exercise_name,action,excel_original_name,exercise_name_diff,force_diff,equipment_diff,mechanic_diff,difficulty_diff,advanced_isolated_muscles_diff
Cable Seated Bayesian Curl,update,Cable Seated Bayesian Curl,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,
Cable Single Arm Incline Chest Fly,insert,Cable Single Arm Incline Chest Fly,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,None -> Chest; Upper Pectoralis
Cable Single Arm Incline Bench Press,insert,Cable Single Arm Incline Bench Press,,None -> Push,None -> Cables,None -> Compound,None -> Beginner,None -> Chest; Upper Pectoralis; Anterior Deltoid
Cable Single Arm Bench Chest Fly,insert,Cable Single Arm Bench Chest Fly,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,None -> Chest
Cable Single Arm Bench Press,insert,Cable Single Arm Bench Press,,None -> Push,None -> Cables,None -> Compound,None -> Beginner,None -> Chest; Anterior Deltoid
Cable Single Arm Decline Bench Chest Fly,insert,Cable Single Arm Decline Bench Chest Fly,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,None -> Chest
Cable Decline Single Arm Bench Press,insert,Cable Decline Single Arm Bench Press,,None -> Push,None -> Cables,None -> Compound,None -> Beginner,None -> Chest; Anterior Deltoid
Cable Incline Chest Fly,update,Cable Incline Chest Fly,,push -> Push,cable -> Cables,isolation -> Isolation,beginner -> Beginner,pectoralis major clavicular -> Chest; Upper Pectoralis
Cable Incline Bench Press,update,Cable Incline Bench Press,,push -> Push,cable -> Cables,compound -> Compound,beginner -> Beginner,pectoralis major clavicular -> Chest; Upper Pectoralis; Anterior Deltoid
Cable Bench Chest Fly,update,Cable Bench Chest Fly,,push -> Push,cable -> Cables,isolation -> Isolation,novice -> Beginner,pectoralis major sternal head -> Chest
Cable Bench Press,update,Cable Bench Press,,push -> Push,cable -> Cables,compound -> Compound,novice -> Beginner,pectoralis major sternal head -> Chest; Anterior Deltoid
Cable Decline Bench Chest Fly,update,Cable Decline Bench Chest Fly,,push -> Push,cable -> Cables,isolation -> Isolation,beginner -> Beginner,pectoralis major sternal head -> Chest
Cable Decline Bench Press,update,Cable Decline Bench Press,,push -> Push,cable -> Cables,compound -> Compound,beginner -> Beginner,pectoralis major sternal head -> Chest; Anterior Deltoid
Cable Seated Leg Curl,update,Cable Seated Leg Curl,,pull -> Pull,cable -> Cables,isolation -> Isolation,advanced -> Advanced,None -> Medial Hamstrings
Cable Seated Leg Extension,insert,Cable Seated Leg Extension,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,
Cable Single Leg Laying Leg Curl,update,Cable Single Leg Laying Leg Curl,,pull -> Pull,cable -> Cables,isolation -> Isolation,advanced -> Advanced,None -> Medial Hamstrings
Cable Rope Kneeling Face Pull,update,Cable Rope Kneeling Face Pull,,pull -> Pull,cable -> Cables,isolation -> Isolation,novice -> Beginner,posterior deltoid -> Posterior Deltoid; Traps (mid-back)
Cable Rope Kneeling Oblique Crunch,update,Cable Rope Kneeling Oblique Crunch,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,
Cable Rope Kneeling Crunch,update,Cable Rope Kneeling Crunch,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,
Cable Quadruped Hip Abduction,insert,Cable Quadruped Hip Abduction,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,
Cable Incline Bench Straight Leg Kickback,insert,Cable Incline Bench Straight Leg Kickback,,None -> Push,None -> Cables,None -> Compound,None -> Beginner,
Cable Bench Straight Leg Kickback,insert,Cable Bench Straight Leg Kickback,,None -> Push,None -> Cables,None -> Compound,None -> Beginner,
Cable Standing Hip Adduction,insert,Cable Standing Hip Adduction,,None -> Pull,None -> Cables,None -> Isolation,None -> Beginner,None -> Inner Thigh
Cable Standing Mid Kickback,insert,Cable Standing Mid Kickback,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,
Cable Standing Straight Leg Mid Kickback,insert,Cable Standing Straight Leg Mid Kickback,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,
Cable Standing Glute Kickback,insert,Cable Standing Glute Kickback,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,
Cable Low Bilateral Lateral Raise,update,Cable Low Bilateral Lateral Raise,,push -> Push,cable -> Cables,isolation -> Isolation,novice -> Beginner,lateral deltoid -> Lateral Deltoid
Cable Bar Front Raise,update,Cable Bar Front Raise,,push -> Push,cable -> Cables,isolation -> Isolation,novice -> Beginner,anterior deltoid -> Anterior Deltoid
Cable Zercher Good Morning,update,Cable Zercher Good Morning,,pull -> Pull,cable -> Cables,compound -> Compound,advanced -> Advanced,None -> Gluteus Maximus; Lateral Hamstrings
Cable Bar Staggered Romanian Deadlift,update,Cable Bar Staggered Romanian Deadlift,,pull -> Pull,cable -> Cables,compound -> Compound,intermediate -> Intermediate,None -> Gluteus Maximus; Lateral Hamstrings
Cable Bar Reverse Grip Curl,insert,Cable Bar Reverse Grip Curl,,None -> Pull,None -> Cables,None -> Isolation,None -> Beginner,
Cable Bar Curl,update,Cable Bar Curl,,pull -> Pull,cable -> Cables,isolation -> Isolation,novice -> Beginner,biceps brachii -> Long Head Bicep; Short Head Bicep
Cable Bar Reverse Grip Pushdown,insert,Cable Bar Reverse Grip Pushdown,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,
Cable Bar Pushdown,update,Cable Bar Pushdown,,push -> Push,cable -> Cables,isolation -> Isolation,novice -> Beginner,
Cable Rope Single Arm Low Lateral Raise,update,Cable Rope Single Arm Low Lateral Raise,,push -> Push,cable -> Cables,isolation -> Isolation,beginner -> Beginner,lateral deltoid -> Lateral Deltoid
Cable Rope Mid Lateral Raise,update,Cable Rope Mid Lateral Raise,,push -> Push,cable -> Cables,isolation -> Isolation,beginner -> Beginner,lateral deltoid -> Lateral Deltoid
Cable Single Arm Skullcrusher,update,Cable Single Arm Skullcrusher,,push -> Push,cable -> Cables,isolation -> Isolation,beginner -> Beginner,triceps brachii -> Long Head Tricep
Cable Rope Front Raise,update,Cable Rope Front Raise,,push -> Push,cable -> Cables,isolation -> Isolation,novice -> Beginner,anterior deltoid -> Anterior Deltoid
Cable Single Arm Rope Pushdown,update,Cable Single Arm Rope Pushdown,,push -> Push,cable -> Cables,isolation -> Isolation,novice -> Beginner,
Cable Rope Upright Row,update,Cable Rope Upright Row,,pull -> Pull,cable -> Cables,compound -> Compound,beginner -> Beginner,anterior deltoid -> Lateral Deltoid
Cable Rope Hammer Curl,update,Cable Rope Hammer Curl,,pull -> Pull,cable -> Cables,isolation -> Isolation,novice -> Beginner,brachioradialis -> Long Head Bicep; Short Head Bicep
Cable Elevated Deadlift,update,Cable Elevated Deadlift,,pull -> Pull,cable -> Cables,compound -> Compound,intermediate -> Intermediate,None -> Gluteus Maximus; Lateral Hamstrings
Cable High Reverse Fly,update,Cable High Reverse Fly,,pull -> Pull,cable -> Cables,isolation -> Isolation,novice -> Beginner,posterior deltoid -> Posterior Deltoid
Cable Single Arm Internally Rotated High Reverse Fly,update,Cable Single Arm Internally Rotated High Reverse Fly,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,posterior deltoid -> Posterior Deltoid
Cable High Internally Rotated Reverse Fly,insert,Cable High Internally Rotated Reverse Fly,,None -> Pull,None -> Cables,None -> Isolation,None -> Beginner,None -> Posterior Deltoid
Cable Single Arm Cross Pushdown,insert,Cable Single Arm Cross Pushdown,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,
Cable Pallof Press Rotation,insert,Cable Pallof Press Rotation,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,None -> Obliques
Cable Oblique Pushdown,update,Cable Oblique Pushdown,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,obliques -> Obliques
Cable Side Bend,update,Cable Side Bend,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,obliques -> Obliques
Cable Bar Calve Raise,update,Cable Bar Calve Raise,,push -> Push,cable -> Cables,isolation -> Isolation,novice -> Beginner,gastrocnemius -> Gastrocnemius
Cable Hammer Bayesian Curl,update,Cable Hammer Bayesian Curl,,pull -> Pull,cable -> Cables,isolation -> Isolation,novice -> Beginner,None -> Long Head Bicep
Cable Reverse Bayesian Curl,update,Cable Reverse Bayesian Curl,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,brachioradialis -> Long Head Bicep
Cable Bayesian Curl,update,Cable Bayesian Curl,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,
Cable Single Arm 30 Degree Shrug,update,Cable Single Arm 30 Degree Shrug,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,upper trapezius -> Upper Traps
Barbell Behind The Neck Seated Overhead Press,insert,Barbell Behind The Neck Seated Overhead Press,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,None -> Lateral Deltoid; Anterior Deltoid
Barbell Drag Curl,update,Barbell Drag Curl,,pull -> Pull,barbell -> Barbell,isolation -> Isolation,intermediate -> Intermediate,None -> Long Head Bicep; Short Head Bicep
Barbell Figure Four Hip Thrust,insert,Barbell Figure Four Hip Thrust,,None -> Push,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell Front Squat With Straps,insert,Barbell Front Squat With Straps,,None -> Push,None -> Barbell,None -> Compound,None -> Intermediate,
Barbell High Incline Bench Press,update,Barbell High Incline Bench Press,,push -> Push,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,pectoralis major clavicular -> Chest
Barbell Single Leg Hip Thrust,insert,Barbell Single Leg Hip Thrust,,None -> Push,None -> Barbell,None -> Compound,None -> Beginner,
Dumbbell Bench Wrist Curl,insert,Dumbbell Bench Wrist Curl,,None -> Pull,None -> Dumbbells,None -> Isolation,None -> Beginner,
Dumbbell Bench Wrist Extension,insert,Dumbbell Bench Wrist Extension,,None -> Push,None -> Dumbbells,None -> Isolation,None -> Beginner,
Dumbbell Bent Arm Lateral Raise,update,Dumbbell Bent Arm Lateral Raise,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,anterior deltoid -> Lateral Deltoid
Dumbbell Cross Body Romanian Deadlift,update,Dumbbell Cross Body Romanian Deadlift,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,intermediate -> Intermediate,None -> Gluteus Maximus; Lateral Hamstrings
Dumbbell High Incline Bench Press,update,Dumbbell High Incline Bench Press,,push -> Push,dumbbell -> Dumbbells,compound -> Compound,beginner -> Beginner,pectoralis major clavicular -> Chest
Dumbbell Incline Skullover,insert,Dumbbell Incline Skullover,,None -> Push,None -> Dumbbells,None -> Isolation,None -> Advanced,
Dumbbell Shoulder External Rotation,update,Dumbbell Shoulder External Rotation,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,posterior deltoid -> Posterior Deltoid
Dumbbell Standing Bayesian Lateral Raise,update,Dumbbell Standing Bayesian Lateral Raise,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,lateral deltoid -> Lateral Deltoid
Kettlebell High Incline Bench Press,insert,Kettlebell High Incline Bench Press,,None -> Push,None -> Kettlebells,None -> Compound,None -> Beginner,None -> Chest
Kettlebell Incline Bench Press,insert,Kettlebell Incline Bench Press,,None -> Push,None -> Kettlebells,None -> Compound,None -> Beginner,None -> Chest
Kettlebell Seated Overhead Press,insert,Kettlebell Seated Overhead Press,,None -> Push,None -> Kettlebells,None -> Compound,None -> Beginner,None -> Lateral Deltoid; Anterior Deltoid
Barbell Figure Four Heels Elevated Hip Thrust,insert,Barbell Figure Four Heels Elevated Hip Thrust,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,
Barbell Heels Elevated Hip Thrust,insert,Barbell Heels Elevated Hip Thrust,,None -> Push,None -> Barbell,None -> Compound,None -> Beginner,
Barbell Single Leg Heels Elevated Hip Thrust,insert,Barbell Single Leg Heels Elevated Hip Thrust,,None -> Push,None -> Barbell,None -> Compound,None -> Advanced,
Backward Arm Circle,insert,Backward Arm Circle,,None -> Pull,None -> Bodyweight,None -> Isolation,None -> Beginner,None -> Lateral Deltoid; Anterior Deltoid; Posterior Deltoid
Bodyweight Alternating Jump Lunge,insert,Bodyweight Alternating Jump Lunge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Bodyweight Figure Four Heels Elevated Hip Thrust,insert,Bodyweight Figure Four Heels Elevated Hip Thrust,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Bodyweight Heels Elevated Hip Thrust,insert,Bodyweight Heels Elevated Hip Thrust,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Bodyweight Lateral Lunge Jump,insert,Bodyweight Lateral Lunge Jump,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Bodyweight Pulse Squat,insert,Bodyweight Pulse Squat,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Bodyweight Single Leg Heels Elevated Hip Thrust,insert,Bodyweight Single Leg Heels Elevated Hip Thrust,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Bodyweight Swing Lunge,insert,Bodyweight Swing Lunge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Bodyweight Swingthrough Lunge,insert,Bodyweight Swingthrough Lunge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Forward Arm Circle,insert,Forward Arm Circle,,None -> Push,None -> Bodyweight,None -> Isolation,None -> Beginner,None -> Lateral Deltoid; Anterior Deltoid; Posterior Deltoid
In And Out Jump Squat,insert,In And Out Jump Squat,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Pole Overhead Squat,insert,Pole Overhead Squat,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,None -> Lateral Deltoid; Anterior Deltoid
Bodyweight Pop Squat,insert,Bodyweight Pop Squat,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Cardio Assault Bike Arms Only,insert,Cardio Assault Bike Arms Only,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Assault Bike,insert,Cardio Assault Bike,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,None -> Chest; Anterior Deltoid
Cardio Band Hammer Curl Jacks,insert,Cardio Band Hammer Curl Jacks,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,None -> Gluteus Medius
Cardio Band Press Jacks,insert,Cardio Band Press Jacks,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,None -> Gluteus Medius; Lateral Deltoid; Anterior Deltoid
Cardio Band Reverse Fly Jacks,insert,Cardio Band Reverse Fly Jacks,,None -> Pull,None -> Cardio,None -> Compound,None -> Beginner,None -> Gluteus Medius; Posterior Deltoid
Cardio Band Seal Jacks,insert,Cardio Band Seal Jacks,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,None -> Gluteus Medius; Chest
Cardio Box Quick Feet,insert,Cardio Box Quick Feet,,None -> Push,None -> Cardio,None -> Compound,None -> Intermediate,
Cardio Criss Cross Jacks,insert,Cardio Criss Cross Jacks,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,None -> Gluteus Medius; Lateral Deltoid; Anterior Deltoid
Cardio Diamond Hop,insert,Cardio Diamond Hop,,None -> Push,None -> Cardio,None -> Compound,None -> Intermediate,
Cardio Figure Eight Sprint,insert,Cardio Figure Eight Sprint,,None -> Push,None -> Cardio,None -> Compound,None -> Intermediate,
Cardio Forward Scissor,insert,Cardio Forward Scissor,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,None -> Lower Abdominals; Rectus Femoris
Cardio In And Out Forward,insert,Cardio In And Out Forward,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,None -> Lower Abdominals; Rectus Femoris
Cardio In And Outs,insert,Cardio In And Outs,,None -> Push,None -> Cardio,None -> Compound,None -> Intermediate,None -> Gluteus Medius
Cardio In In Out Out Shuffle,insert,Cardio In In Out Out Shuffle,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,None -> Gluteus Medius
Cardio Jumping Jacks,insert,Cardio Jumping Jacks,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,None -> Gluteus Medius; Lateral Deltoid; Anterior Deltoid
Cardio Karaoke,insert,Cardio Karaoke,,None -> Push,None -> Cardio,None -> Compound,None -> Intermediate,
Cardio Knee Taps,insert,Cardio Knee Taps,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Lateral Quick Feet,insert,Cardio Lateral Quick Feet,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Lateral Shuffle,insert,Cardio Lateral Shuffle,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Long Jump,insert,Cardio Long Jump,,None -> Push,None -> Cardio,None -> Compound,None -> Intermediate,
Cardio Long Jump Shuffle Back,insert,Cardio Long Jump Shuffle Back,,None -> Push,None -> Cardio,None -> Compound,None -> Intermediate,
Cardio Quick Feet,insert,Cardio Quick Feet,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Row Erg Rower Arms Only,insert,Cardio Row Erg Rower Arms Only,,None -> Pull,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Row Erg Rower Four Stroke Sprint Start,insert,Cardio Row Erg Rower Four Stroke Sprint Start,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Row Erg Rower,insert,Cardio Row Erg Rower,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Row Erg Rower Legs Only,insert,Cardio Row Erg Rower Legs Only,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Seal Jacks,insert,Cardio Seal Jacks,,None -> Push,None -> Cardio,,None -> Beginner,None -> Gluteus Medius
Cardio Shuttle Sprint,insert,Cardio Shuttle Sprint,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Single Leg Forward Hop,insert,Cardio Single Leg Forward Hop,,None -> Push,None -> Cardio,None -> Isolation,None -> Beginner,
Cardio Single Leg Lateral Hop,insert,Cardio Single Leg Lateral Hop,,None -> Push,None -> Cardio,None -> Isolation,None -> Beginner,
Cardio Skater,insert,Cardio Skater,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Skater To Single Leg Burpee,insert,Cardio Skater To Single Leg Burpee,,None -> Push,None -> Cardio,None -> Compound,None -> Advanced,None -> Chest
Cardio Ski Erg,insert,Cardio Ski Erg,,None -> Pull,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Sprint In Place,insert,Cardio Sprint In Place,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Step Out Jacks,insert,Cardio Step Out Jacks,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Cardio Three Step Heismans,insert,Cardio Three Step Heismans,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
Dumbbell Figure Four Heels Elevated Hip Thrust,insert,Dumbbell Figure Four Heels Elevated Hip Thrust,,None -> Push,None -> Dumbbells,None -> Compound,None -> Intermediate,
Dumbbell Heels Elevated Hip Thrust,insert,Dumbbell Heels Elevated Hip Thrust,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,
Dumbbell Single Leg Heels Elevated Hip Thrust,insert,Dumbbell Single Leg Heels Elevated Hip Thrust,,None -> Push,None -> Dumbbells,None -> Compound,None -> Advanced,
Rower Knee Tuck,insert,Rower Knee Tuck,,None -> Pull,None -> Machine,None -> Isolation,None -> Beginner,
Rower Pike,insert,Rower Pike,,None -> Pull,None -> Machine,None -> Isolation,None -> Intermediate,
Alternating Pole Rotation,insert,Alternating Pole Rotation,,None -> Pull,None -> Stretches,None -> Isolation,None -> Beginner,None -> Lateral Deltoid; Anterior Deltoid; Posterior Deltoid
Pole Rotation,insert,Pole Rotation,,None -> Pull,None -> Stretches,None -> Isolation,None -> Beginner,None -> Lateral Deltoid; Anterior Deltoid; Posterior Deltoid
Bodyweight Alternating Curtsy Lunge,insert,Bodyweight Alternating Curtsy Lunge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Bodyweight Alternating Lateral Lunge,insert,Bodyweight Alternating Lateral Lunge,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Bodyweight Alternating Reverse Lunges,insert,Bodyweight Alternating Reverse Lunges,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Bodyweight Clapping Push Up,insert,Bodyweight Clapping Push Up,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,None -> Chest
Bodyweight Diamond Knee Push Ups,insert,Bodyweight Diamond Knee Push Ups,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,None -> Chest
Bodyweight Elevated Push Up,insert,Bodyweight Elevated Push Up,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,None -> Chest
Bodyweight Explosive Push Up,insert,Bodyweight Explosive Push Up,,None -> Push,None -> Bodyweight,None -> Compound,None -> Advanced,None -> Chest
Bodyweight Hip Abduction,insert,Bodyweight Hip Abduction,,None -> Push,None -> Bodyweight,None -> Isolation,None -> Beginner,
Bodyweight Incline Knee Push Up,insert,Bodyweight Incline Knee Push Up,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,None -> Chest
Bodyweight Knee Plank Up Down,update,Bodyweight Knee Plank Up Down,,push -> Push,bodyweight -> Bodyweight,compound -> Compound,novice -> Beginner,
Bodyweight Knee Push Ups,insert,Bodyweight Knee Push Ups,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,None -> Chest
Bodyweight Knee Tricep Extension,insert,Bodyweight Knee Tricep Extension,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Bodyweight Pike Press,insert,Bodyweight Pike Press,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,None -> Traps (mid-back); Anterior Deltoid
Bodyweight Pike Shrug,insert,Bodyweight Pike Shrug,,None -> Push,None -> Bodyweight,None -> Isolation,None -> Intermediate,None -> Upper Traps
Bodyweight Plank Up Down,update,Bodyweight Plank Up Down,,push -> Push,bodyweight -> Bodyweight,compound -> Compound,novice -> Beginner,
Bodyweight Tricep Extension,insert,Bodyweight Tricep Extension,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,
Kettlebell Step Up Double,insert,Kettlebell Step Up Double,,None -> Push,None -> Kettlebells,None -> Compound,None -> Beginner,
Kettlebell Single Arm Front Rack Step Up,update,Kettlebell Single Arm Front Rack Step Up,,push -> Push,kettlebell -> Kettlebells,compound -> Compound,advanced -> Advanced,
Kettlebell Front Rack Step Up,update,Kettlebell Front Rack Step Up,,push -> Push,kettlebell -> Kettlebells,compound -> Compound,advanced -> Advanced,
Kettlebell Single Arm Step Up Balance,insert,Kettlebell Single Arm Step Up Balance,,None -> Push,None -> Kettlebells,None -> Compound,None -> Intermediate,
Kettlebell Windmill Bottom Hand,update,Kettlebell Windmill Bottom Hand,,push -> Push,kettlebell -> Kettlebells,isolation -> Isolation,intermediate -> Intermediate,obliques -> Obliques
Kettlebell Farmers March,insert,Kettlebell Farmers March,,None -> Hold,None -> Kettlebells,None -> Isolation,None -> Intermediate,
Kettlebell Single Arm Farmers March,insert,Kettlebell Single Arm Farmers March,,None -> Pull,None -> Kettlebells,None -> Compound,None -> Beginner,
Kettlebell Walking Farmers March,insert,Kettlebell Walking Farmers March,,None -> Pull,None -> Kettlebells,None -> Compound,None -> Beginner,
Kettlebell Single Arm Calf Raise,update,Kettlebell Single Arm Calf Raise,,push -> Push,kettlebell -> Kettlebells,isolation -> Isolation,novice -> Beginner,
Kettlebell Goblet Calf Raise,update,Kettlebell Goblet Calf Raise,,push -> Push,kettlebell -> Kettlebells,isolation -> Isolation,novice -> Beginner,gastrocnemius -> Gastrocnemius
Kettlebell Single Leg Single Arm Calf Raise,update,Kettlebell Single Leg Single Arm Calf Raise,,push -> Push,kettlebell -> Kettlebells,isolation -> Isolation,beginner -> Beginner,
Kettlebell Single Arm Reverse Curl,update,Kettlebell Single Arm Reverse Curl,,pull -> Pull,kettlebell -> Kettlebells,isolation -> Isolation,beginner -> Beginner,brachioradialis -> Wrist Extensors
Kettlebell Upright Row Single,update,Kettlebell Upright Row Single,,pull -> Pull,kettlebell -> Kettlebells,compound -> Compound,beginner -> Beginner,anterior deltoid -> Lateral Deltoid
Kettlebell Single Arm Row On Bench,update,Kettlebell Single Arm Row On Bench,,pull -> Pull,kettlebell -> Kettlebells,compound -> Compound,novice -> Beginner,
Kettlebell Seated Calf Raise Double,update,Kettlebell Seated Calf Raise Double,,push -> Push,kettlebell -> Kettlebells,isolation -> Isolation,novice -> Beginner,
Kettlebell Bench Wrist Extension,insert,Kettlebell Bench Wrist Extension,,None -> Pull,None -> Kettlebells,None -> Isolation,None -> Beginner,
Kettlebell Bench Wrist Curl,insert,Kettlebell Bench Wrist Curl,,None -> Pull,None -> Kettlebells,None -> Isolation,None -> Beginner,
Kettlebell Floor Press,insert,Kettlebell Floor Press,,None -> Push,None -> Kettlebells,None -> Compound,None -> Beginner,None -> Chest
Kettlebell Single Arm Floor Press,insert,Kettlebell Single Arm Floor Press,,None -> Push,None -> Kettlebells,None -> Compound,None -> Beginner,None -> Chest
Kettlebell Overhead Tricep Extension,insert,Kettlebell Overhead Tricep Extension,,None -> Push,None -> Kettlebells,None -> Isolation,None -> Intermediate,
Kettlebell Bottoms Up Single Arm Overhead Press,insert,Kettlebell Bottoms Up Single Arm Overhead Press,,None -> Push,None -> Kettlebells,None -> Compound,None -> Advanced,None -> Lateral Deltoid; Anterior Deltoid
Kettlebell Bottoms Up Overhead Press,insert,Kettlebell Bottoms Up Overhead Press,,None -> Push,None -> Kettlebells,None -> Compound,None -> Advanced,None -> Lateral Deltoid; Anterior Deltoid
Dumbbell Floor Press,insert,Dumbbell Floor Press,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,None -> Chest
Bodyweight Box Assisted Dips,insert,Bodyweight Box Assisted Dips,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,None -> Chest
Barbell Wrist Extension,insert,Barbell Wrist Extension,,None -> Pull,None -> Barbell,None -> Isolation,None -> Beginner,
Dumbbell Seated Rear Delt Row,update,Dumbbell Seated Rear Delt Row,,pull -> Pull,dumbbell -> Dumbbells,compound -> Compound,beginner -> Beginner,posterior deltoid -> Posterior Deltoid; Traps (mid-back)
Dumbbell Internally Rotated Rear Delt Fly,update,Dumbbell Internally Rotated Rear Delt Fly,,pull -> Pull,dumbbell -> Dumbbells,isolation -> Isolation,beginner -> Beginner,posterior deltoid -> Posterior Deltoid; Traps (mid-back)
Dumbbell Goblet Side Step Up,insert,Dumbbell Goblet Side Step Up,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,
Dumbbell Side Step Up,insert,Dumbbell Side Step Up,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,
Dumbbell Goblet Step Up,insert,Dumbbell Goblet Step Up,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,
Dumbbell Single Arm Front Rack Step Up,insert,Dumbbell Single Arm Front Rack Step Up,,None -> Push,None -> Dumbbells,None -> Compound,None -> Advanced,
Dumbbell Front Rack Step Up,insert,Dumbbell Front Rack Step Up,,None -> Push,None -> Dumbbells,None -> Compound,None -> Advanced,
Dumbbell Single Arm Step Up,insert,Dumbbell Single Arm Step Up,,None -> Push,None -> Dumbbells,None -> Compound,None -> Advanced,
Dumbbell Step Up,insert,Dumbbell Step Up,,None -> Push,None -> Dumbbells,None -> Compound,None -> Beginner,
Machine Seated Leg Curl,update,Machine Seated Leg Curl,,pull -> Pull,machine -> Machine,isolation -> Isolation,novice -> Beginner,None -> Medial Hamstrings
Treadmill Jog,insert,Treadmill Jog,,None -> Push,None -> Cardio,None -> Compound,None -> Beginner,
