exercise_name,primary muscle group,secondary muscle group,tertiary muscle group,force,equipment,mechanic,difficulty,advanced_isolated_muscles
TRX Rear Delt Row,Shoulders; Posterior Deltoid; Rear Shoulders,Traps (mid-back),,Pull,TRX,Isolation,Beginner,Posterior Deltoid; Traps (mid-back)
TRX Reverse Curl,Biceps,Forearms,,Pull,TRX,Isolation,Intermediate,
TRX Reverse Lunge,Glutes; Quads,,,Push,TRX,Compound,Novice,
TRX Rotating Row,Lats,Biceps,,Pull,TRX,Compound,Beginner,
TRX Single Arm row,Lats,Biceps,,Pull,TRX,Compound,Beginner,
TRX Skullcrusher,Triceps,,,Push,TRX,Isolation,Beginner,
TRX Split Squat,Glutes; Quads,,,Push,TRX,Compound,Novice,
TRX Squat,Glutes; Quads,,,Push,TRX,Compound,Novice,
TRX W Raise,Shoulders; Posterior Deltoid; Rear Shoulders,Traps (mid-back),,Pull,TRX,Isolation,Beginner,Posterior Deltoid; Traps (mid-back)
TRX Y Raise,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,Traps,Traps (mid-back),Pull,TRX,Isolation,Beginner,Lateral Deltoid; Anterior Deltoid; Traps (mid-back)
Child Pose Arms Extended,Lats,Biceps,Lower back,Hold,Yoga,Compound,Novice,
Child Pose Arms Extended Left Right,Lats,Obliques,,Hold,Yoga,Compound,Beginner,Obliques
Child Pose Arms On Side,Lats,Shoulders,Lower back,Hold,Yoga,Compound,Beginner,
Table Top Pose Variation 1,Forearms,,,Hold,Yoga,Isolation,Beginner,
Table Top Pose Variation 2,Forearms,,,Hold,Yoga,Isolation,Beginner,
Table Top Pose Variation 3,Forearms,,,Hold,Yoga,Isolation,Beginner,
Bow Pose,Chest,Abdominals,Quads,Hold,Yoga,Compound,Intermediate,Chest
Criss Cross Bow Tie Pose,Traps,Shoulders,Traps (mid-back),Hold,Yoga,Compound,Beginner,Traps (mid-back)
Cat Pose,Lower back,Traps (mid-back),,Hold,Yoga,Isolation,Beginner,Traps (mid-back)
Chair Pose,Quads,Shoulders,,Hold,Yoga,Compound,Beginner,
Child Pose Elbows On Block,Triceps,Lats,,Hold,Yoga,Compound,Beginner,
Corpse Pose,Biceps,,,Hold,Yoga,Compound,Beginner,
Crescent Moon Pose,Quads,,,Hold,Yoga,Compound,Beginner,
Crescent Moon Pose Quad Stretch,Quads,,,Hold,Yoga,Isolation,Intermediate,
Crescent Moon Pose Quad Stretch With Block,Quads,,,Hold,Yoga,Isolation,Beginner,
Crow Pose,Biceps,Shoulders,,Hold,Yoga,Compound,Advanced,
Double Pigeon Pose,Glutes,,,Hold,Yoga,Isolation,Beginner,
Downward Dog,Biceps,Hamstrings,,Hold,Yoga,Compound,Beginner,
Downward Dog Toe To Heel,Calves,Hamstrings,,Hold,Yoga,Compound,Beginner,
Downward Dog With Fingers Facing Feet,Biceps,Forearms,Hamstrings,Hold,Yoga,Compound,Beginner,
Eagle Arms Chin Into Chest,Traps,Traps (mid-back),Shoulders,Hold,Yoga,Isolation,Beginner,Traps (mid-back)
Eagle Arm Pose,Shoulders,,,Hold,Yoga,Isolation,Beginner,
Easy Pose Neck Stretch,Traps,,,Hold,Yoga,Isolation,Beginner,
Easy Seated Twist Pose,Obliques,Lower back,,Hold,Yoga,Compound,Beginner,Obliques
extended-side-angle-pose,Lats,,,Hold,Yoga,Compound,Beginner,
Extended side Angle Pose With Block,Lats,Obliques,,Hold,Yoga,Compound,Beginner,Obliques
Gate Pose Variation Arm Extended on Side,Obliques,Lats,,Hold,Yoga,Compound,Intermediate,Obliques
Gate Pose Rounding Spine Looking Up,Lats,Obliques,,Hold,Yoga,Compound,Intermediate,Obliques
Half Lotus,Glutes,,,Hold,Yoga,Isolation,Beginner,
Half Monkey Pose,Hamstrings,,,Hold,Yoga,Isolation,Beginner,
Half Neck Rolls,Traps,,,Hold,Yoga,Isolation,Beginner,
Happy Baby,Lower back,,,Hold,Yoga,Isolation,Beginner,
Headstand,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid,,Hold,Yoga,Compound,Advanced,Anterior Deltoid; Lateral Deltoid
Lord Of The Dance,Quads,,,Hold,Yoga,Compound,Intermediate,
Monkey Pose,Quads,Hamstrings,,Hold,Yoga,Compound,Advanced,
Mountain,Chest,,,Hold,Yoga,Isolation,Novice,Chest
One Arm Cow Face Pose,Triceps,Lats,,Hold,Yoga,Compound,Beginner,
Seated Forward Bend,Hamstrings,Lower back,,Hold,Yoga,Isolation,Beginner,
Pigeon Pose,Glutes,Quads,,Hold,Yoga,Compound,Beginner,
Wide Legged Forward Fall,Shoulders; Anterior Deltoid; Front Shoulders,,,Hold,Yoga,Compound,Beginner,Anterior Deltoid
Puppy Pose,Shoulders; Posterior Deltoid; Rear Shoulders,Lats,,Hold,Yoga,Compound,Beginner,Posterior Deltoid
Pyramid Pose Blocks,Hamstrings,Calves,,Hold,Yoga,Compound,Beginner,
Pyramid Pose Calf Blocks,Calves,Hamstrings,,Hold,Yoga,Isolation,Beginner,
Pyramid Pose,Hamstrings,Calves,,Hold,Yoga,Compound,Beginner,
Pyramid Prayer,Triceps,Lats,,Hold,Yoga,Isolation,Beginner,
Reclining Pigeon Pose,Glutes,,,Hold,Yoga,Isolation,Beginner,
Restful Cow Face Pose Legs,Glutes,,,Hold,Yoga,Isolation,Intermediate,
Reverse Prayer,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,,,Hold,Yoga,Isolation,Beginner,Lateral Deltoid; Anterior Deltoid
Revolved Head To Knee,Obliques,Hamstrings,,Hold,Yoga,Compound,Advanced,Obliques
Revolved Side Angle Pose With Prayer Hands Beginner,Traps (mid-back),Obliques,,Hold,Yoga,Compound,Beginner,Traps (mid-back); Obliques
Revolved Side Angle Pose With Prayer Hands,Traps (mid-back),Obliques,,Hold,Yoga,Compound,Intermediate,Traps (mid-back); Obliques
Runners Lunge,Quads,,,Hold,Yoga,Compound,Beginner,
Scorpion Twist Pose,Biceps,Chest,Lower back,Hold,Yoga,Compound,Beginner,Chest
Seated Arm Stretch,Biceps,Forearms,,Hold,Yoga,Isolation,Beginner,
Seated Side Bend Pose,Obliques,,,Hold,Yoga,Isolation,Beginner,Obliques
Seated Twist,Traps (mid-back),Obliques,,Hold,Yoga,Compound,Beginner,Traps (mid-back); Obliques
Sphinx Pose,Lower back,Chest,,Hold,Yoga,Isolation,Beginner,Chest
Standing Forward Bend Blocks,Hamstrings,Calves,,Hold,Yoga,Isolation,Beginner,
Standing Forward Bend,Hamstrings,,,Hold,Yoga,Isolation,Beginner,
Supine Twist Lying,Obliques,Lower back,,Hold,Yoga,Compound,Beginner,Obliques
Supported Matsyasana Pose,Chest,Traps (mid-back),,Hold,Yoga,Isolation,Beginner,Chest; Traps (mid-back)
Thread The Needle Hip Over Knees,Traps,Obliques,,Hold,Yoga,Compound,Intermediate,Obliques
Tree Pose,Chest,,,Hold,Yoga,Compound,Novice,Chest
Two Arms Cow Face Pose,Lats,Triceps,,Hold,Yoga,Compound,Beginner,
Urdhva Dhanurasana Wheel Pose,Abdominals,,,Hold,Yoga,Compound,Beginner,
Vajrasana Variation 1,Forearms,Traps (mid-back),,Hold,Yoga,Compound,Beginner,Traps (mid-back)
Vajrasana Variation 2,Forearms,Traps (mid-back),,Hold,Yoga,Isolation,Beginner,Traps (mid-back)
Walk Your Downward Dog,Calves,Hamstrings,,Hold,Yoga,Compound,Beginner,
Warrior One,Chest,,,Hold,Yoga,Compound,Beginner,Chest
Warrior Three,Hamstrings,Glutes,,Hold,Yoga,Compound,Intermediate,
Warrior Two,Chest,,,Hold,Yoga,Isolation,Beginner,Chest
Wide Legged Standing Forward Bend Holding Heels,Hamstrings,Calves,,Hold,Yoga,Isolation,Beginner,
Wild Thing Pose,Obliques,,,Hold,Yoga,Compound,Intermediate,Obliques
Yogi Arm Clock,Chest,Biceps,Shoulders,Hold,Yoga,Compound,Beginner,Chest
Box Jump,Glutes; Quads,,,Push,Bodyweight,Compound,Beginner,
Depth Jump,Glutes; Quads,,,Push,Bodyweight,Compound,Intermediate,
Seated Box Jump,Glutes; Quads,,,Push,Bodyweight,Compound,Beginner,
Single Leg Box Jump,Glutes; Quads,,,Push,Bodyweight,Compound,Advanced,
Toe Tap,Abdominals,,,Push,Cardio,Compound,Novice,
Glute Ham Raise,Hamstrings,,,Pull,Machine,Isolation,Intermediate,
Medicine Ball Chest Press Partner Toss,Chest; Mid and Lower Chest,Triceps; Long Head Tricep; Lateral Head Triceps,Anterior Deltoid,Push,Medicine-Ball,Compound,Beginner,Chest; Mid and Lower Chest; Long Head Tricep; Lateral Head Triceps; Anterior Deltoid
Medicine Ball Chest Press Slam,Chest; Mid and Lower Chest,Triceps; Long Head Tricep; Lateral Head Triceps; Medial Head Triceps,Anterior Deltoid,Push,Medicine-Ball,Compound,Beginner,Chest; Mid and Lower Chest; Long Head Tricep; Lateral Head Triceps; Medial Head Triceps; Anterior Deltoid
Medicine Ball Chest Press Toss,Chest,Triceps,Anterior Deltoid,Push,Medicine-Ball,Compound,Beginner,Chest; Anterior Deltoid
Medicine Ball Clean And Press Slam,Glutes,Quads; Inner Quadriceps; Outer Quadricep,Shoulders; Anterior Deltoid; Front Shoulders,Push,Medicine-Ball,Compound,Intermediate,Inner Quadriceps; Outer Quadricep; Anterior Deltoid
Medicine Ball Half Kneeling Wood Chopper,Obliques,,,Pull,Medicine-Ball,Isolation,Beginner,Obliques
Medicine Ball Halo,Shoulders; Lateral Deltoid; Anterior Deltoid; Posterior Deltoid; Front Shoulders; Rear Shoulders,Abdominals,,Push,Medicine-Ball,Isolation,Beginner,Lateral Deltoid; Anterior Deltoid; Posterior Deltoid
Medicine Ball Ball Headlock Squat,Glutes; Quads; Inner Quadriceps; Outer Quadricep,,,Push,Medicine-Ball,Compound,Beginner,Inner Quadriceps; Outer Quadricep
Medicine Ball Hip Abduction,Glutes; Gluteus Medius,,,Push,Medicine-Ball,Isolation,Beginner,Gluteus Medius
Medicine Ball Kneeling Wood Chopper,Obliques,,,Pull,Medicine-Ball,Isolation,Beginner,Obliques
Medicine Ball Lateral Lunge Slam,Glutes; Gluteus Medius,Quads; Inner Quadriceps; Outer Quadricep,,Push,Medicine-Ball,Isolation,Intermediate,Gluteus Medius; Inner Quadriceps; Outer Quadricep
Medicine Ball Ball Offset Squat,Glutes; Gluteus Maximus; Quads,,,Push,Medicine-Ball,Compound,Novice,Gluteus Maximus
Medicine Ball Overhead Reverse Lunge,Quads; Inner Quadriceps; Outer Quadricep,Glutes; Gluteus Maximus,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,Push,Medicine-Ball,Compound,Intermediate,Inner Quadriceps; Outer Quadricep; Gluteus Maximus; Lateral Deltoid; Anterior Deltoid
Medicine Ball Overhead Squat,Quads; Inner Quadriceps; Outer Quadricep,Glutes; Gluteus Maximus,Shoulders,Push,Medicine-Ball,Compound,Intermediate,Inner Quadriceps; Outer Quadricep; Gluteus Maximus
Medicine Ball Partner Side Toss,Obliques,,,Pull,Medicine-Ball,Isolation,Beginner,Obliques
Medicine Ball Partner Situp Toss,Upper Abdominals,,,Push,Medicine-Ball,Isolation,Beginner,Upper Abdominals
Medicine Ball Plank,Abdominals; Lower Abdominals; Upper Abdominals,,,Hold,Medicine-Ball,Compound,Beginner,Lower Abdominals; Upper Abdominals
Medicine Ball Press Jack,Shoulders; Front Shoulders,Gluteus Medius,,Push,Medicine-Ball,Compound,Beginner,Gluteus Medius
Medicine Ball Pushup,Triceps; Chest; Mid and Lower Chest,,,Push,Medicine-Ball,Compound,Intermediate,Chest; Mid and Lower Chest
Medicine Ball Rainbow Slam,Obliques,,,Push,Medicine-Ball,Compound,Beginner,Obliques
Medicine Ball Reverse Lunge,Glutes; Gluteus Maximus; Quads; Inner Quadriceps; Outer Quadricep,,,Push,Medicine-Ball,Compound,Beginner,Gluteus Maximus; Inner Quadriceps; Outer Quadricep
Medicine Ball Reverse Lunge Twist,Glutes; Quads; Inner Quadriceps; Outer Quadricep,Obliques,,Push,Medicine-Ball,Compound,Intermediate,Inner Quadriceps; Outer Quadricep; Obliques
Medicine Ball Russian Twist,Obliques,,,Push,Medicine-Ball,Isolation,Intermediate,Obliques
Medicine Ball Self Toss,Quads; Inner Quadriceps; Outer Quadricep,Glutes; Gluteus Maximus,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,Push,Medicine-Ball,Compound,Beginner,Inner Quadriceps; Outer Quadricep; Gluteus Maximus; Lateral Deltoid; Anterior Deltoid
Medicine Ball Single Leg Deadlift,Hamstrings,Glutes; Gluteus Maximus,Lower back,Pull,Medicine-Ball,Compound,Intermediate,Gluteus Maximus
Medicine Ball Slam,Abdominals; Upper Abdominals,,,Push,Medicine-Ball,Compound,Beginner,Upper Abdominals
Medicine Ball Squat Reach,Quads; Inner Quadriceps; Outer Quadricep,Glutes; Gluteus Maximus,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,Push,Medicine-Ball,Compound,Beginner,Inner Quadriceps; Outer Quadricep; Gluteus Maximus; Lateral Deltoid; Anterior Deltoid
Medicine Ball Walkover Pushup,Chest; Mid and Lower Chest,Triceps,Anterior Deltoid,Push,Medicine-Ball,Compound,Intermediate,Chest; Mid and Lower Chest; Anterior Deltoid
Medicine Ball Wall Ball,Quads,Glutes,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,Push,Medicine-Ball,Compound,Beginner,Lateral Deltoid; Anterior Deltoid
Medicine Ball Wood Chopper,Obliques,,,Push,Medicine-Ball,Compound,Beginner,Obliques
Medicine Ball Wood Chopper Toss,Obliques,,,Push,Medicine-Ball,Compound,Beginner,Obliques
Landmine Alternating Lunge And Twist,Obliques,Glutes; Quads,,Push,Barbell,Compound,Advanced,Obliques
Landmine Alternating Lunge To Chest Press,Quads,Glutes,Chest,Push,Barbell,Compound,Advanced,Chest
Landmine Alternating Single Arm Press,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,Triceps,,Push,Barbell,Isolation,Intermediate,Lateral Deltoid; Anterior Deltoid
Landmine Bicep Curl,Biceps,,,Pull,Barbell,Isolation,Intermediate,
Landmine Calf Raise,Calves; Gastrocnemius,,,Push,Barbell,Isolation,Intermediate,Gastrocnemius
Landmine Concentration Curl,Biceps,,,Pull,Barbell,Isolation,Intermediate,
Landmine Curtsy Lunge,Glutes; Gluteus Medius,Quads,,Push,Barbell,Compound,Intermediate,Gluteus Medius
Landmine Glute Kick Back,Glutes,,,Push,Barbell,Isolation,Intermediate,
Landmine Goblet Curtsy Lunge,Glutes,Quads,,Push,Barbell,Compound,Advanced,
Landmine Goblet Lateral Lunge,Glutes,Quads,,Push,Barbell,Compound,Advanced,
Landmine Hack Squat,Glutes; Quads,,,Push,Barbell,Compound,Advanced,
Landmine Half Kneeling Single Arm Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Barbell,Isolation,Intermediate,Anterior Deltoid; Lateral Deltoid
Landmine Hollow Hold,Abdominals,Shoulders; Anterior Deltoid,,Hold,Barbell,Isolation,Advanced,Anterior Deltoid
Landmine Kneeling Alternating Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Barbell,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Landmine Kneeling Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Barbell,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Landmine Kneeling Twist,Obliques,,,Pull,Barbell,Isolation,Intermediate,Obliques
Landmine Lateral Lunge,Glutes; Quads,,,Push,Barbell,Compound,Intermediate,
Landmine Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,Anterior Deltoid,,Pull,Barbell,Isolation,Intermediate,Lateral Deltoid; Anterior Deltoid
Landmine Lunge,Glutes; Quads,,,Push,Barbell,Compound,Intermediate,
Landmine Lunge To Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Glutes; Quads,Lateral Deltoid,Push,Barbell,Compound,Advanced,Anterior Deltoid; Lateral Deltoid
Landmine Lying Tricep Extension,Triceps,,,Push,Barbell,Isolation,Intermediate,
Landmine Oblique Twist,Obliques,,,Pull,Barbell,Compound,Advanced,Obliques
Landmine Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Barbell,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Landmine Romanian Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Barbell,Compound,Intermediate,Gluteus Maximus; Lateral Hamstrings
Landmine Rotational Lift To Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Obliques,Glutes; Quads,Pull,Barbell,Compound,Advanced,Anterior Deltoid; Lateral Deltoid; Obliques
Landmine Russian Twist,Obliques,,,Pull,Barbell,Isolation,Intermediate,Obliques
Landmine Seated Alternating Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Barbell,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Landmine Seated Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Barbell,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Landmine Seated Single Arm Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Anterior Deltoid; Triceps,,Push,Barbell,Compound,Intermediate,Anterior Deltoid
Landmine Single Arm Chest Press,Chest,Triceps,,Push,Barbell,Compound,Intermediate,Chest
Landmine Single Arm Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Barbell,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Landmine Single Arm Push Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Barbell,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Landmine Single Arm Staggered Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Barbell,Compound,Intermediate,Anterior Deltoid; Lateral Deltoid
Landmine Single Leg Glute Bridge,Glutes; Gluteus Maximus,,,Push,Barbell,Compound,Advanced,Gluteus Maximus
Landmine Single Leg Romanian Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Barbell,Compound,Intermediate,Gluteus Maximus; Lateral Hamstrings
Barbell Landmine Sissy Squat,Quads; Rectus Femoris,,,Push,Barbell,Isolation,Advanced,Rectus Femoris
Landmine Sit Up,Abdominals; Upper Abdominals,,,Pull,Barbell,Isolation,Intermediate,Upper Abdominals
Landmine Snatch,Glutes; Shoulders,Lower back,Anterior Deltoid; Front Shoulders,Pull,Barbell,Compound,Intermediate,Anterior Deltoid
Landmine Split Jerk,Shoulders; Anterior Deltoid; Front Shoulders,,,Push,Barbell,Compound,Advanced,Anterior Deltoid
Landmine Squat,Glutes; Quads,,,Push,Barbell,Compound,Beginner,
Landmine Staggered Romanian Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Barbell,Compound,Advanced,Gluteus Maximus; Lateral Hamstrings
Landmine Stationary Twist,Obliques,,,Pull,Barbell,Isolation,Intermediate,Obliques
Landmine Sumo Deadlift,Glutes; Gluteus Maximus,Quads,,Pull,Barbell,Compound,Beginner,Gluteus Maximus
Landmine T Bar Rows,Lats,Biceps,Lower back,Pull,Barbell,Compound,Beginner,
Landmine Thruster,Glutes; Shoulders; Anterior Deltoid; Quads; Front Shoulders,,,Push,Barbell,Compound,Intermediate,Anterior Deltoid
Medicine Ball Hollow Hold,Abdominals; Lower Abdominals; Upper Abdominals,,,Hold,Medicine-Ball,Isolation,Intermediate,Lower Abdominals; Upper Abdominals
Bosu Ball Burpee,Glutes; Quads,Chest,,Push,Bosu-Ball,Compound,Intermediate,Chest
Bosu Ball Calf Raise,Calves,,,Push,Bosu-Ball,Isolation,Beginner,
Bosu Ball Curl,Biceps,,,Pull,Bosu-Ball,Isolation,Beginner,
Bosu Ball Feet Elevated Glute Bridge,Glutes,Lower back,,Push,Bosu-Ball,Compound,Beginner,
Bosu Ball Forearm Plank,Abdominals,,,Hold,Bosu-Ball,Compound,Beginner,
Bosu Ball Forearm Sideplank,Obliques,,,Hold,Bosu-Ball,Compound,Intermediate,Obliques
Bosu Ball Front Raise,Anterior Deltoid; Front Shoulders,,,Push,Bosu-Ball,Isolation,Beginner,Anterior Deltoid
Bosu Ball Half Burpee,Glutes,Quads,Chest,Push,Bosu-Ball,Compound,Beginner,Chest
Bosu Ball Hand Plank,Abdominals,,,Hold,Bosu-Ball,Compound,Beginner,
Bosu Ball Hand Sideplank,Obliques,,,Hold,Bosu-Ball,Compound,Intermediate,Obliques
Bosu Ball Hand Sideplank Hip Abduction,Obliques,Gluteus Medius,,Push,Bosu-Ball,Compound,Advanced,Obliques; Gluteus Medius
Bosu Ball Hip Thrust,Glutes,Lower back,,Push,Bosu-Ball,Compound,Beginner,
Bosu Ball Lateral Lunge,Quads,Gluteus Medius,Glutes,Push,Bosu-Ball,Compound,Intermediate,Gluteus Medius
Bosu Ball Offset Pushup,Chest,Triceps,,Push,Bosu-Ball,Compound,Intermediate,Chest
Bosu Ball Pike Pushup,Shoulders; Anterior Deltoid; Front Shoulders,Triceps,,Push,Bosu-Ball,Compound,Intermediate,Anterior Deltoid
Bosu Ball Pike Shrug,Traps,,,Push,Bosu-Ball,Isolation,Beginner,
Bosu Ball Plank Glute Kickback,Glutes,Abdominals,,Push,Bosu-Ball,Compound,Intermediate,
Bosu Ball Pullover,Lats,,,Pull,Bosu-Ball,Isolation,Beginner,
Bosu Ball Pushup,Chest,Triceps,Abdominals,Push,Bosu-Ball,Compound,Intermediate,Chest
Bosu Ball Reverse Lunge,Glutes; Quads,,,Push,Bosu-Ball,Compound,Intermediate,
Bosu Ball Row,Lats,Biceps,,Pull,Bosu-Ball,Compound,Beginner,
Bosu Ball Single Leg Elevated Glute Bridge,Glutes,Lower back,,Push,Bosu-Ball,Compound,Intermediate,
Bosu Ball Single Leg Hip Thrust,Glutes,Lower back,,Push,Bosu-Ball,Compound,Beginner,
Bosu Ball Situp,Abdominals,Upper Abdominals,,Push,Bosu-Ball,Isolation,Beginner,Upper Abdominals
Bosu Ball Split Squat,Glutes; Quads,,,Push,Bosu-Ball,Compound,Intermediate,
Bosu Ball Squat,Glutes; Quads,,,Push,Bosu-Ball,Compound,Novice,
Bosu Ball Superman,Lower back,,,Pull,Bosu-Ball,Isolation,Beginner,
Bosu Ball Toe Tap,Abdominals; Lower Abdominals,,,Push,Bosu-Ball,Compound,Beginner,Lower Abdominals
Bosu Ball Up And Over,Abdominals,Lower Abdominals,,Push,Bosu-Ball,Isolation,Beginner,Lower Abdominals
Bosu Ball Walkover Pushup,Chest,Triceps,Abdominals,Push,Bosu-Ball,Compound,Intermediate,Chest
Bosu Ball Wood Chopper,Obliques,,,Pull,Bosu-Ball,Isolation,Beginner,Obliques
Narrow Pulldown,Lats,Biceps; Traps (mid-back),,Pull,Machine,Compound,Novice,Traps (mid-back)
Neutral Chest Press,Chest,Triceps,,Push,Machine,Compound,Novice,Chest
Neutral Pulldown,Lats,Biceps,Traps (mid-back),Pull,Machine,Compound,Novice,Traps (mid-back)
Seated Leg Curl,Hamstrings; Medial Hamstrings,,,Pull,Machine,Isolation,Novice,Medial Hamstrings
Underhand Pulldown,Lats,Biceps,Lower Traps,Pull,Machine,Compound,Novice,Lower Traps
Vitruvian Arnold Press,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,Triceps,,Push,Vitruvian,Compound,Beginner,Lateral Deltoid; Anterior Deltoid
Vitruvian Belt Squat,Glutes; Quads,,,Push,Vitruvian,Compound,Intermediate,
Vitruvian Bench Press,Triceps,,,Push,Vitruvian,Compound,Beginner,
Vitruvian Crunch,Abdominals,,,Pull,Vitruvian,Isolation,Beginner,
Vitruvian Deficit Lunge,Quads,Glutes,,Push,Vitruvian,Compound,Intermediate,
Vitruvian Figure Four Hip Thrust,Glutes,,,Push,Vitruvian,Compound,Advanced,
Vitruvian Front Squat,Quads,Glutes,,Push,Vitruvian,Compound,Intermediate,
Vitruvian Hammer Curl,Biceps,,,Pull,Vitruvian,Isolation,Beginner,
Vitruvian Hip Thrust,Glutes,,,Push,Vitruvian,Compound,Beginner,
Vitruvian Kneeling Wood Chopper,Obliques,,,Pull,Vitruvian,Isolation,Beginner,Obliques
Vitruvian Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Pull,Vitruvian,Isolation,Beginner,Lateral Deltoid
Vitruvian Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid,,Push,Vitruvian,Compound,Beginner,Anterior Deltoid; Lateral Deltoid
Vitruvian Pec Fly,Chest,,,Push,Vitruvian,Isolation,Beginner,Chest
Vitruvian Push Up,Chest,Triceps,,Push,Vitruvian,Compound,Intermediate,Chest
Vitruvian Rear Delt Fly,Shoulders; Posterior Deltoid; Rear Shoulders,,,Pull,Vitruvian,Isolation,Beginner,Posterior Deltoid
Vitruvian Romanian Deadlift,Hamstrings,Glutes,Lower back,Pull,Vitruvian,Compound,Beginner,
Vitruvian Row,Lats,Biceps,,Pull,Vitruvian,Compound,Beginner,
Vitruvian Seated Calf Raise,Calves,,,Push,Vitruvian,Isolation,Beginner,
Vitruvian Shrug,Traps,,,Pull,Vitruvian,Isolation,Beginner,
Vitruvian Side Bend,Obliques,,,Pull,Vitruvian,Isolation,Beginner,Obliques
Vitruvian Single Arm Row,Lats,Biceps,,Pull,Vitruvian,Compound,Beginner,
Vitruvian Single Leg Deadlift,Hamstrings,Glutes,Lower back,Pull,Vitruvian,Compound,Intermediate,
Vitruvian Staggered Deadlift,Hamstrings,Glutes,Lower back,Pull,Vitruvian,Compound,Intermediate,
Vitruvian Standing Calf Raise,Calves,,,Push,Vitruvian,Isolation,Beginner,
Vitruvian Windmill,Obliques,,,Push,Vitruvian,Isolation,Intermediate,Obliques
Seated Tibialis Raise,Tibialis,,,Push,Bodyweight,Isolation,Novice,Tibialis
Dumbbell Seated Tibialis Raise,Tibialis,,,Push,Dumbbells,Isolation,Novice,Tibialis
Cobra Pose,Lower back; Abdominals,,,Hold,Yoga,Compound,Beginner,
Machine Sissy Squat,Quads; Rectus Femoris,,,Push,Machine,Compound,Intermediate,Rectus Femoris
Machine Goblet Sissy Squat,Quads; Rectus Femoris,Glutes,,Push,Machine,Compound,Intermediate,Rectus Femoris
Bicycle Crunch,Abdominals; Lower Abdominals; Upper Abdominals,Abdominals,Lower Abdominals; Upper Abdominals,Push,Bodyweight,Isolation,Beginner,Lower Abdominals; Upper Abdominals
Bird Dog,Abdominals,,,Push,Bodyweight,Compound,Beginner,
Dead Bug,Abdominals,,,Push,Bodyweight,Compound,Novice,
Hand Side Plank Reach Through,Obliques,,,Pull,Bodyweight,Isolation,Advanced,Obliques
Long Lever Forearm Plank,Abdominals,,,Hold,Bodyweight,Compound,Advanced,
Situp,Upper Abdominals,,,Pull,Bodyweight,Isolation,Novice,Upper Abdominals
Plate Superman,Lower back,,,Pull,Plate,Isolation,Intermediate,
Plate Superman Hold,Lower back,,,Hold,Plate,Isolation,Intermediate,
Reverse Crunch,Lower Abdominals,,,Pull,Bodyweight,Isolation,Intermediate,Lower Abdominals
Dumbbell Superman Hold,Lower back,,,Hold,Dumbbells,Isolation,Novice,
Kettlebell Hollow Hold,Abdominals,,,Hold,Kettlebells,Isolation,Advanced,
Kettlebell Superman,Lower back,,,Pull,Kettlebells,Isolation,Advanced,
Kettlebell Superman Hold,Lower back,,,Hold,Kettlebells,Isolation,Advanced,
